Column1;Column2
"Наша гимназическая форма, имитировавшая мундир морского офицера, на узких ребячьих плечах смотрелась довольно убого, и лишь одному Оми она была впору. В этом синем наряде он так и излучал мужественную силу и чувственность. Уверен, что не я один с завистью и обожанием смотрел на эту великолепную мускулатуру, проступавшую под тонкой саржевой тканью.Лицо Оми постоянно выражало какое-то угрюмое превосходство. Наверное, это было следствием уязвленной гордости. Я воображал, что провалы на экзаменах, изгнание из пансиона и прочие удары судьбы воспринимались им как олицетворение некой загадочной и всевластной силы. Что это была за сила? Мне смутно грезилось, что ее породило зло, живущее в душе Оми, который пока и сам не догадывается, какой мощный заговор против него зреет в его собственном сердце.Лицо у Оми было смугловатое, круглое, с надменно выступающими скулами, небольшим, но мясистым, хорошей формы носом, точеной линией рта и мужественным подбородком; одного взгляда на эти черты хватало, чтобы почувствовать, как мощен и стремителен ток крови в теле Оми. Под таким обличьем могла скрываться только дикая, неукрощенная душа. Разве можно было ожидать от человека с подобным лицом какой-то насыщенной внутренней жизни? Но зато он наверняка обладал непостижимым совершенством, когда-то доступным людям, но оставленным ими в далеком прошлом.Иногда Оми от нечего делать подходил и заглядывал мне через плечо в книгу — а книги я читал все больше мудреные и моему возрасту мало подходившие. Я немедленно с извиняющейся улыбкой захлопывал книгу. Не от смущения, нет. Я боялся, что, затеяв разговор о литературе, Оми продемонстрирует полное невежество и тем самым нанесет ущерб собственному совершенству, так мало им сознаваемому.";Художественный стиль
;
"Семена будущего сволочного мира прорастали еще в самой толще войны.Чтобы угадать, какой станет наша жизнь, эта истеричка, достаточно было посмотреть, как она неистовствует в кабаке «Олимпия». Внизу, в длинном подвале-дансинге, искоса подглядывавшем за тобой сотней зеркал, она трепыхалась в пыли и отчаянии под негро-иудео-саксонскую музыку. Британцы вперемешку с черными. Повсюду на алых диванах курили и орали меланхоличные и воинственные левантинцы и русские. Их мундиры, полустершиеся теперь в нашей памяти, были ростками сегодняшнего дня, который покамест все еще созревает, но мало-помалу тоже превратится в кучу перегноя.Каждую неделю, раздразнив в себе вожделение несколькими часами, проведенными в «Олимпии», мы всей компанией отправлялись с визитом к нашей бельевщице, перчаточнице и книгопродавщице мадам Эрот в тупике Березина за «Фоли-Бержер»; теперь его больше не существует, а тогда девочки выводили туда собачек на поводке делать свои дела.Мы ходили к ней искать на ощупь свое счастье, которому яростно угрожал весь мир. Желаний своих мы, конечно, стыдились, но привередничать не приходилось. Отказываться от любви еще трудней, чем от жизни. В этом мире так уж повелось: то убиваешь, то любишь — и все разом. «Я тебя ненавижу! Я тебя обожаю!» Ты защищаешься, тешишь себя надеждой и отчаянно силишься любой ценой передать жизнь двуногому существу следующего века, словно так уж неописуемо приятно знать, что у тебя будет продолжение и это, в конечном счете, обеспечит тебе вечность. Целоваться — как почесываться: хочется во что бы то ни стало.";Художественный стиль
;
"С мучительным волнением я собрал все необходимое, чтобы зажечь жизнь в бесчувственном создании, лежавшем у моих ног. Был час пополуночи; дождь уныло стучал в оконное стекло; свеча почти догорела; и вот при ее неверном свете я увидел, как открылись тусклые желтые глаза; существо начало дышать и судорожно подергиваться.Как описать мои чувства при этом ужасном зрелище, как изобразить несчастного, созданного мною с таким неимоверным трудом? А между тем члены его были соразмерны, и я подобрал для него красивые черты. Красивые — Боже великий! Желтая кожа слишком туго обтягивала его мускулы и жилы; волосы были черные, блестящие и длинные, а зубы белые как жемчуг; но тем страшнее был их контраст с водянистыми глазами, почти неотличимыми по цвету от глазниц, с сухой кожей и узкой прорезью черного рта.Нет в жизни ничего переменчивее наших чувств. Почти два года я трудился с единственной целью — вдохнуть жизнь в бездыханное тело. Ради этого я лишил себя покоя и здоровья. Я желал этого с исступленной страстью; а теперь, когда я окончил свой труд, вся прелесть мечты исчезла, и сердце мое наполнилось несказанным ужасом и отвращением. Не в силах вынести вида своего творения, я кинулся вон из комнаты и долго шагал по своей спальне, чувствуя, что не смогу заснуть. Наконец мое волнение сменилось усталостью, и я, одетый, бросился на постель, надеясь ненадолго забыться. Но напрасно; мне, правда, удалось заснуть, но я увидел во сне кошмар: прекрасная и цветущая Элизабет шла по улице Ингольштадта. Я в восхищении обнял ее, но едва успел запечатлеть поцелуй на ее губах, как они помертвели, черты ее изменились, и вот уже я держу в объятиях труп моей матери; тело ее окутано саваном, и в его складках копошатся могильные черви.";Художественный стиль
;
Появились новые правила: все двери, кроме главного входа, после начала уроков закрывались, несмотря на то что какой-нибудь ученик с оружием мог уже быть внутри. С рюкзаками в класс больше не пускали, хотя оружие можно спрятать под курткой, или в маленькой сумке, или даже в застегнутой на молнию папке для бумаг. Все — и учителя, и ученики — носили на шее удостоверения. Полагалось, что так будет видно, кто есть, а кого нет, но Джози не могла избавиться от мысли, что таким образом в следующий раз можно будет легко определить личность убитых.На линейке директор подошел к микрофону и поприветствовал всех в Стерлинг Хай, хотя они вернулись и не в Стерлинг Хай. Потом объявил минуту молчания.В то время, как остальные ребята во время минуты молчания опустили головы, Джози посмотрела вокруг. Она была не единственной, кто не молился. Некоторые ученики обменивались записками. Несколько человек слушали плеер. Какой-то мальчик списывал домашнее задание по математике.Боятся ли они, как и она, поминать погибших, чтобы не чувствовать себя еще более виноватыми?Джози повернулась и ударилась коленом о парту. Парты и стулья в этой временной школе были для младших школьников, а не для беженцев-подростков. В результате, никто не помещался. Колени Джози были на уровне подбородка. Некоторые ребята не смогли даже сесть за парту, им приходилось писать, держа тетрадки на коленях.;Художественный стиль
;
"Я еще быстрее зашагал по пустынным улицам и площадям. И, выбившись из сил, остановился на углу. Я увидел многострадальную железную решетку; за ней — черно-белый плитчатый пол портика монастыря Непорочного Зачатия. И понял, что очертил полный круг и снова оказался в десяти шагах от альмасена, где мне дали Захир.Я свернул за угол и издали по темноте, окутывавшей дом, догадался, что лавка заперта. На улице Бельграно я взял такси. Спать совсем не хотелось; одержимо, чувствуя себя почти счастливым, я думал о том, что нет не свете вещи менее материальной, нежели деньги, ибо любая монета (скажем, монета в двадцать сентаво) на деле представляет собой целый набор всевозможных вариантов будущего. Деньги абстрактны, твердил я, деньги — это то, что будет. Они могут стать загородной поездкой, а могут — музыкой Брамса, могут обратиться картой, а могут — шахматами, или чашкой кофе, или поучением Эпиктета о презрении к золоту; это Протей еще более переменчивый, чем Протей с острова Фарос. Это время, которое невозможно предвидеть, время Бергсона, а не жесткое время Ислама или стоиков. Детерминисты отрицают, что в мире могут существовать отдельные друг от друга события, id est что события могут свершаться сами по себе, монета же символизирует для нас свободу воли. (Я и не подозревал, что эти «мысли» специально плелись против Захира и были первым проявлением его демонического влияния.) Устав от напряженного мудрствования, я заснул, и мне приснилось, что я превратился в монеты, которые охраняет гриф.На следующий день я решил, что был пьян. И все-таки задумал избавиться от монеты, так меня беспокоившей. Я стал ее разглядывать: ничего особенного, разве что царапины, нанесенные ножом. Лучше всего было бы зарыть ее в саду или спрятать где-нибудь в библиотеке, но мне хотелось сойти с ее орбиты. И я надумал потерять ее.";Художественный стиль
;
Абажур нес на себе одинокий составной китайский иероглиф — Гноссос вывел его дрожащей рукой однажды вечером в ожидании Бет Блэкнесс, которая должна была выписать рецепт для парегорика. Символ извещал, что рюкзак священен и не предназначен для продажи. Перевод сделал Харольд Вонг, наглый, как вся олимпийская сборная.На стенах заметны следы липкой ленты в тех местах, откуда Гноссос в наркотизированной ярости посрывал претенциозно знакомые хозяйские репродукции Дега, Ренуара, Сойера, Утрилло и Мэри Кассатт. В створчатую дверь, отделявшую их от алкоголиков Раджаматту, Гноссос вбил гвоздь и повесил на него рюкзак. Тот распространял вокруг себя слабый аромат заячьих лапок месячной давности и разных восточных штучек, приобретенных в греко-турецкой лавке в негритянском районе города. У камина в пластмассовых крапчатых горшках, которые Гноссос все не мог собраться побрызгать черной краской из пульверизатора, росли два каучуковых саженца. Повсюду раскрытые учебники, на полях нацарапаны пометки, на обложках — рожи. На каждой горизонтальной поверхности стояла по меньшей мере, одна пивная банка, набитая сигаретами, отмокающими в вонючей жидкости. А над каминной полкой, доминируя над всей этой белостенной гостиной, висела привязанная к багету бельевой веревкой пятнадцатого номера гобеленоподобная картина Блэкнесса: человек, отрубающий себе голову.Прежде чем вернуться к колонке редактора, Гноссос дочитал на последней странице пресс-релиз о деле разбитых камней. «Вандализм», — гласил заголовок. «До сих пор никаких следов злоумышленника, уничтожившего коллекцию декана Магнолии». Подзаголовок сообщал, что Проктор Джакан Подозревает Продиктованную Психологическими Мотивами Пьяную Выходку. Оп-ля.;Художественный стиль
;
Татьяна Петровна зажгла свечу на столе, села в кресло, долго смотрела на язычок огня – он даже не вздрагивал. Потом она осторожно взяла одно из писем, распечатала и, оглянувшись, начала читать. «Милый мой старик, – читала Татьяна Петровна, – вот уже месяц, как я лежу в госпитале. Рана не очень тяжёлая. И вообще она заживает. Ради бога, не волнуйся и не кури папиросу за папиросой. Умоляю!» «Я часто вспоминаю тебя, папа, – читала дальше Татьяна Петровна, – и наш дом, и наш городок. Всё это страшно далеко, как будто на краю света. Я закрываю глаза и тогда вижу: вот я отворяю калитку, вхожу в сад. Зима, снег, но дорожка к старой беседке над обрывом расчищена. В комнатах трещат печи. Пахнет берёзовым дымом. Рояль наконец настроен, и ты вставил в подсвечники витые жёлтые свечи – те, что я привёз из Ленинграда. И те же ноты лежат на рояле: увертюра к «Пиковой даме» и романс «Для берегов отчизны дальней». Звонит ли колокольчик у дверей? Я так и не успел его починить. Неужели я всё это увижу опять? Неужели опять буду умываться с дороги нашей колодезной водой из кувшина? Помнишь? Эх, если бы ты знал, как я полюбил всё это отсюда, издали! Ты не удивляйся, но я говорю тебе совершенно серьёзно: я вспоминал об этом в самые страшные минуты боя. Я знал, что защищаю не только всю страну, но и вот этот маленький и самый милый для меня уголок и тебя, и наш сад, и наших мальчишек, и берёзовые рощи за рекой, и даже кота Архипа. Пожалуйста, не смейся и не качай головой.;Художественный стиль
;
"Из северной пустыни должна была прийти удача, необычайное приключение, тот чудесный случай, который по крайней мере раз в жизни бывает у каждого. Из-за этой смутной надежды, с течением времени становившейся все более расплывчатой, взрослые мужчины проводили в Крепости лучшие свои годы.Нормальная жизнь, простые человеческие радости, заурядная судьба были не для них; живя здесь бок о бок, они лелеяли одну и ту же мечту, хотя никогда не обмолвились о ней ни словом — то ли потому, что сами не отдавали себе в этом отчета, то ли просто потому, что были солдатами, а солдаты не любят, когда им заглядывают в душу.Вот и у Тронка, наверно, была такая мечта. Он педантично соблюдал параграфы устава и железную дисциплину, гордился своим необыкновенным чувством ответственности и заблуждался, полагая, что этого достаточно. Даже если бы ему сказали: все будет так до конца твоей жизни, все останется без изменений до последней минуты и пора бы тебе уже очнуться. «Нет, это невозможно, — ответил бы он. — Должно же когда-нибудь случиться что-то необычное, что-то поистине важное, такое, после чего можно будет сказать: что ж, теперь, даже если все и кончено, не о чем сожалеть».Дрого понял их нехитрую тайну и с облегчением подумал, что его, стороннего наблюдателя, все это не касается. Через четыре месяца он с божьей помощью расстанется с ними навсегда. Таинственные чары старой Крепости рассеялись с поразительной легкостью. Так думал Дрого. Но почему этот старик смотрит на него с плохо скрытым сомнением? Почему Дрого охватило вдруг желание насвистать какой-нибудь мотивчик, глотнуть вина, выйти на свежий воздух? Может, ему надо было доказать самому себе, что он действительно свободен и спокоен?";Художественный стиль
;
Солнце, встающее над Хюэ утром 25 февраля 1968 года, озаряет мертвый город. Солдаты корпуса морской пехоты США освободили Хюэ до основания. Здесь, в самом сердце древней имперской столицы Вьетнама, этой живой святыне для вьетнамцев с обеих сторон, зеленые морпехи из зеленой машины освободили бесценное прошлое. Зеленые морпехи из зеленой машины расстреляли кости священных предков. Мудрые как Соломон, мы превратили Хюэ в руины, чтобы спасти его.На следующее утро Дельта Шесть отваливает нам немного халявы, и мы проводим весь день в охоте за золотыми слитками в императорском дворце.Мы входим в тронный зал, где восседали императоры прошлых времен. Трон кроваво-красный, усыпанный грошовыми зеркальцами.Хотел бы я жить в Императорском дворце. Яркий фаянс на стенах оживляет их. На крыше оранжевая черепица. Повсюду каменные драконы, вазы из керамики, бронзовые журавли, стоящие на черепашьих спинах, и много других прекрасных предметов, происхождение и назначение которых неизвестно, но нет сомнения, что они очень ценные, очень красивые и очень старые.Я выхожу из дворца в потрясающий императорский сад. Обнаруживаю там Алису и Стропилу, которые разглядывают хрустящих зверушек. Определить, какой армии они принадлежали, не представляется возможным. Напалм даже костей не щадит. Я говорю: «Пристрастие к аромату жареной плоти, следует признать, достигается многочисленными упражнениями».Алиса смеется. «И нахрен все тут изувечили? Ведь это место типа волшебного храма, знаешь, да? Гуки так его любят. Раздолбать его — все равно, что... ну, Белый дом раздолбать. Вот только на Белый дом всем насрать, а это место в десять раз древнее».;Художественный стиль
;
Насколько Сэммлер мог припомнить, Уэллса на седьмом десятке преследовали мысли о девочках. Он приводил веские доводы в пользу радикального пересмотра сексуальных отношений соответственно с увеличившейся продолжительностью человеческой жизни. В те времена, когда среднестатистический индивидуум доживал лишь до тридцати лет, человечество, изнуренное трудом, недоеданием, болезнями, приходило к сексуальному финишу уже на третьем десятке. Ромео и Джульетта были подростками. Сейчас, когда в цивилизованном обществе продолжительность жизни достигла семидесяти, прежние нормы беспощадной краткосрочности, раннего увядания и неизбежного истощения должны быть отброшены. Уэллс постепенно распалялся, приходил в ярость, говоря о возможностях мозга, о пределах его развития, об уменьшающейся к старости любознательности. Этот профессиональный утопист не мог даже предположить, что желанное будущее принесет с собой сексуальные излишества, извращения, порнографию. Он-то полагал, что с избавлением от прежней грязи и угрюмой худосочности род человеческий создаст более сильный, более рослый, развитый, мозговитый, откормленный, прокислороженный, витальный тип человека, едящего и пьющего разумно, идеально независимого и сбалансированного в своих желаниях, не нуждающегося в одежде, спокойно исполняющего свой долг, занятого фантастически увлекательным и полезным умственным трудом. Да, постепенно этот вечный страх человечества, порожденный быстрым увяданием земной красоты и радости, должен исчезнуть, его непременно должна сменить высшая мудрость удлинившейся жизни.;Художественный стиль
;
На острове жило более пяти тысяч шахтеров, половина из них — холостяки. Кадзуё стала учиться на парикмахершу, радуясь тому, что ее жизнь так удачно устроилась. Несмотря на ее полноту, маленькие глаза и крупный нос, не было и дня, чтобы какой-нибудь шахтер не пригласил ее погулять. Тем не менее Кадзуё не спешила завязывать близких отношений. Она была не из тех, кто, обжегшись единожды на неудачном браке, осторожничает с мужчинами, но ее добивались слишком многие, и это вселило в нее уверенность, что однажды рядом с ней появится мужчина лучше нынешних. Мужчины говорили ей, что она красивая, но она поначалу этому не верила. До того как она попала на остров, никто не говорил ей таких слов. Закончив рабочий день в парикмахерской, она выбирала какого-нибудь кавалера, и они отправлялись ужинать, потом играли на автоматах, шли на танцы или в кино. Вернувшись домой, Кадзуё подолгу рассматривала свое отражение в зеркале. Вспоминая все те слова, что нашептывали ей мужчины, она внимательно вглядывалась в зеркало, пытаясь выяснить, что именно в ней красиво. Найти это оказалось не так-то просто. В конце концов она решила, что у нее красивые губы. Да и кожа была белой и гладкой. Постоянного дружка Кадзуё завести себе никак не могла, потому что вокруг нее постоянно крутилось как минимум трое, кого она назвала бы классными парнями, если бы встретила до приезда на остров. Первым, с кем она переспала после развода, был не шахтер, а наладчик боулинга, да к тому же женатый. Они познакомились на танцах, куда Кадзуё пришла в компании двух молодых шахтеров. У наладчика была машина, и они, переправившись на пароме, поехали кататься в Нагасаки и Сасэбо. Когда его жена наконец застукала их, она сказала Кадзуё: «С такой-то рожей!», чем несказанно ее удивила. Возможно, жена была симпатичнее Кадзуё, но ничего вроде «такая рожа» Кадзуё не приходилось слышать, и она поверить своим ушам не могла. С этого дня она принялась подолгу просиживать перед зеркалом и твердила себе: «Губы, цвет и гладкость кожи».;Художественный стиль
